transform_class,candidate_count,mean_gain,selection_frequency,oracle_frequency
Affine,10,-0.012868864,0.06548,0.20820001
AutoContrast,2,-0.048891187,0.35320002,0.1927
Blur,2,-0.1283823,0.1815,0.10699999
CLAHE,2,-0.09141612,0.27310002,0.2075
Defocus,2,-0.45504588,0.0168,0.1141
Downscale,4,-0.30323595,0.24245,0.122549996
Enhance,1,-0.0078011393,0.0048,0.1342
Equalize,1,-0.10176692,0.5028,0.2078
GaussianBlur,3,-0.08433375,0.1164,0.09953334
HueSaturationValue,8,-0.011778504,0.095975,0.1544
ImageCompression,6,-0.18260217,0.047766667,0.15783334
MedianBlur,2,-0.13298677,0.5612,0.1387
MotionBlur,3,-0.078707784,0.19500001,0.14060001
PlanckianJitter,6,-0.01027451,0.36683333,0.14293332
RGBShift,6,-0.0067398385,0.0012666667,0.14826667
RandomBrightnessContrast,10,-0.012831275,0.13916,0.15806
RandomGamma,4,-0.0020814948,0.00045,0.1325
RandomToneCurve,3,-0.008060342,0.0,0.118533336
RingingOvershoot,1,-0.24266067,0.0088,0.1486
Rotate,10,-0.09658615,0.38772002,0.20971999
SafeRotate,4,-0.4433195,0.2042,0.17975
Sharpen,2,-0.09150439,0.37730002,0.20660001
SquareSymmetry,5,-0.8633189,0.00808,0.15632
ToGray,1,-0.36500034,0.0078,0.2172
UnsharpMask,1,-0.0040882444,0.0,0.073
identity,1,0.0,1.0,1.0
