strategy,top1,top5,nll,ece,forwards_per_image,relative_compute_vs_all
clean_center_crop,0.80468,0.94592,0.9394408464431764,0.0867521771347522,1.0,0.01
center_crop_hflip,0.8086,0.94728,0.9003176689147949,0.0757234846641123,2.0,0.02
clean,0.80468,0.94592,0.9394408464431764,0.0867521771347522,1.0,0.01
fixed_light_tta,0.80848,0.94052,0.8573180437088013,0.0460778749671578,17.0,0.17
random_topk,0.80888,0.945448,0.8210227251052856,0.0307058580443561,17.0,0.17
all_100_uniform,0.8102,0.94696,0.7910934090614319,0.0265594783616065,100.0,1.0
learned_topk_uniform,0.81008,0.94856,0.8194312453269958,0.043177492031455,17.0,0.17
learned_topk_softmax_weighted,0.81032,0.9484,0.8195195198059082,0.0426989534220099,17.0,0.17
oracle_topk_uniform,0.87492,0.96312,0.4898453056812286,0.0135181583175063,17.0,0.17
learned_adaptive_uniform,0.81004,0.9486,0.8194118142127991,0.0431931995648145,17.0,0.17
global_weighted_tta,0.81488,0.94984,0.7710350155830383,0.0289745551949739,100.0,1.0
class_weighted_tta,0.80536,0.94128,0.8397632837295532,0.0300290276062488,100.0,1.0
ten_crop,0.81448,0.95104,0.8242202997207642,0.0465716274785995,10.0,0.1
